id,make,model,year,VClass,drive,trans,fuelType,cylinders,displ,pv2,pv4,city,UCity,highway,UHighway,comb,co2,feScore,ghgScore,trans_type
0,32204,Nissan,GT-R,2013,Subcompact Cars,All-Wheel Drive,Automatic (AM6),Premium Gasoline,6,3.8,79,0,16.4596,20.2988,22.5568,30.1798,18.7389,471,4,4,Automatic
1,32205,Volkswagen,CC,2013,Compact Cars,Front-Wheel Drive,Automatic (AM-S6),Premium Gasoline,4,2.0,94,0,21.8706,26.977,31.0367,42.4936,25.2227,349,6,6,Automatic
2,32206,Volkswagen,CC,2013,Compact Cars,Front-Wheel Drive,Automatic (S6),Premium Gasoline,6,3.6,94,0,17.4935,21.2,26.5716,35.1,20.6716,429,5,5,Automatic
3,32207,Volkswagen,CC 4motion,2013,Compact Cars,All-Wheel Drive,Automatic (S6),Premium Gasoline,6,3.6,94,0,16.9415,20.5,25.219,33.5,19.8774,446,5,5,Automatic
4,32208,Chevrolet,Malibu eAssist,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,2.4,0,95,24.7726,31.9796,35.534,51.8816,28.6813,310,8,8,Automatic
5,32209,Lexus,GS 350,2013,Midsize Cars,Rear-Wheel Drive,Automatic (S6),Premium Gasoline,6,3.5,0,99,19.4325,24.1499,28.2234,38.5,22.6002,393,6,6,Automatic
6,32210,Lexus,GS 350 AWD,2013,Midsize Cars,All-Wheel Drive,Automatic (S6),Premium Gasoline,6,3.5,0,99,18.5752,23.5261,26.3573,36.2109,21.4213,412,5,5,Automatic
7,32214,Hyundai,Genesis Coupe,2013,Subcompact Cars,Rear-Wheel Drive,Automatic 8-spd,Premium Gasoline,4,2.0,89,0,17.445999999999998,21.7946,26.6295,37.6731,20.6507,432,5,5,Automatic
8,32215,Hyundai,Genesis Coupe,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,89,0,20.6741,26.2,29.2741,41.8,23.8235,375,6,6,Manual
9,32216,Hyundai,Genesis Coupe,2013,Subcompact Cars,Rear-Wheel Drive,Automatic 8-spd,Premium Gasoline,6,3.8,89,0,16.4675,20.4839,24.5605,34.4972,19.3344,461,4,4,Automatic
10,32217,Hyundai,Genesis Coupe,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.8,89,0,18.1909,22.8,26.7761,37.9,21.2581,420,5,5,Manual
11,32218,Volkswagen,CC,2013,Compact Cars,Front-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,94,0,20.8232,25.7303,31.7255,43.9687,24.6323,360,6,6,Manual
12,32219,Lincoln,MKS AWD,2013,Large Cars,All-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.7,0,105,18.0431,22.6,25.9987,36.7,20.9244,424,5,5,Automatic
13,32220,Lincoln,MKS AWD,2013,Large Cars,All-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,0,105,17.1523,21.4,25.0,35.6,20.0543,446,5,5,Automatic
14,32221,Lincoln,MKS FWD,2013,Large Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.7,0,105,17.9906,22.529,26.5429,37.5393,21.0415,422,5,5,Automatic
15,32231,Mazda,6,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.7,0,102,17.7357,21.7,26.6826,34.6,20.8874,463,5,5,Automatic
16,32232,Ford,Taurus AWD,2013,Large Cars,All-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,0,102,18.117,22.7,25.5432,36.0,20.844,426,5,5,Automatic
17,32233,Ford,Taurus AWD,2013,Large Cars,All-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,0,102,17.1523,21.4,25.0,35.6,20.0543,446,5,5,Automatic
18,32234,Ford,Taurus AWD FFV,2013,Large Cars,All-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,0,102,18.117,22.7,25.5432,36.0,20.844,426,5,5,Automatic
19,32235,Ford,Taurus FWD,2013,Large Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,0,102,19.3144,24.329,28.1465,40.0311,22.4901,395,6,6,Automatic
20,32244,Ford,Mustang,2013,Subcompact Cars,Rear-Wheel Drive,Automatic 6-spd,Regular Gasoline,6,3.7,83,0,19.2053,24.1798,30.4395,43.6431,23.0301,386,6,6,Automatic
21,32245,Ford,Mustang,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Regular Gasoline,6,3.7,83,0,18.5595,23.3,28.574,40.7,22.0347,403,5,5,Manual
22,32246,Ford,Mustang,2013,Subcompact Cars,Rear-Wheel Drive,Automatic 6-spd,Regular Gasoline,8,5.0,83,0,17.5859,21.9829,24.9515,35.0939,20.2798,438,5,5,Automatic
23,32247,Ford,Mustang,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Regular Gasoline,8,5.0,83,0,15.5004,19.1995,25.2823,35.6,18.7681,473,4,4,Manual
24,32248,Ford,Mustang Convertible,2013,Subcompact Cars,Rear-Wheel Drive,Automatic 6-spd,Regular Gasoline,6,3.7,81,0,19.2257,24.2077,29.0745,41.4859,22.6834,392,6,6,Automatic
